,title,speaker,text,neg_p,pos_p
381,Biden1,Biden,"Not ISIS, not al Qaeda—white supremacists.",0.27351132,0.7264887
455,Biden2,Biden,This is a pandemic of the unvaccinated.,0.27391812,0.7260819
173,Biden1,Biden,"Enough people who believed that America does not belong to everyone and not everyone is created equal—Native Americans, Asian Americans, Hispanic Americans, Black Americans.",0.27775523,0.7222448
183,Biden1,Biden,Literal hell was unleashed.,0.28408405,0.715916
224,Biden1,Biden,"And most people didn’t realize that, a century ago, a second Ku Klux Klan had been founded—the second Ku Klux Klan had been founded.",0.29341015,0.7065899
459,Biden2,Biden,This is totally unacceptable.,0.29783815,0.70216185
754,Washington1,Washington,"No People can be bound to acknowledge and adore the invisible hand, which conducts the Affairs of men more than the People of the United States.",0.3010907,0.6989093
41,Trump1,Trump,"Thank you, God bless you, and God bless America.",0.3079048,0.69209516
69,Trump2,Trump,"Instead of saying “thank you” to the United States, they chanted “death to America.” In fact, they chanted “death to America” the day the agreement was signed.",0.31549522,0.6845047
364,Biden1,Biden,"Neo-Nazis, white supremacists, the KKK coming out of those fields at night in Virginia with lighted torches—the veins bulging on their—as they were screaming.",0.31850982,0.6814902
538,Biden2,Biden,"As soon as they are authorized, those eligible will be able to get a booster right away in tens of thousands of site across the—sites across the country for most Americans, at your nearby drug store, and for free.",0.3190876,0.68091244
473,Biden2,Biden,"These pandemic politics, as I refer to, are making people sick, causing unvaccinated people to die.",0.32148993,0.67851
367,Biden1,Biden,"Well, Mother Fletcher said when she saw the insurrection at the Capitol on January the 9th [6th], it broke her heart—a mob of violent white extremists—thugs.",0.33073777,0.6692622
12,Trump1,Trump,"You are attacking it, and you are attacking our country.",0.33159414,0.66840583
752,Washington1,Washington,"Such being the impressions under which I have, in obedience to the public summons, repaired to the present station; it would be peculiarly improper to omit in this first official Act, my fervent supplications to that Almighty Being who rules over the Universe, who presides in the Councils of Nations, and whose providential aids can supply every human defect, that his benediction may consecrate to the liberties and happiness of the People of the United States, a Government instituted by themselves for these essential purposes: and may enable every instrument employed in its administration to execute with success, the functions allotted to his charge.",0.3378563,0.6621437
550,Biden2,Biden,"So, parents, please get your teenager vaccinated.",0.34146938,0.6585306
16,Trump1,Trump,"It must stop, whether you are on the right or on the left, a democrat or a republican, there is never a justification for violence.",0.35059837,0.64940166
235,Biden1,Biden,"Millions of white Americans belonged to the Klan, and they weren’t even embarrassed by it; they were proud of it.",0.36824217,0.6317578
182,Biden1,Biden,Hell was unleashed.,0.36877778,0.6312222
303,Biden1,Biden,"Instead of consigning millions of American children to under-resourced schools, let’s give each and every child, three and four years old, access to school—not daycare, school.",0.3708732,0.6291268
